,City,Temperature,Humidity,Cloudiness,Wind Speed (mph),Latitude,Longitude,Country,Datetime
0,egvekinot,-6.3,96,71,0.63,66.32,-179.17,RU,1579990858
1,san patricio,79.16,65,58,7.52,19.22,-104.7,MX,1579990926
2,busselton,65.7,59,1,9.6,-33.65,115.33,AU,1579990927
3,punta arenas,51.01,62,0,23.0,-53.15,-70.92,CL,1579990927
4,kishtwar,9.45,98,100,3.27,33.32,75.77,IN,1579990927
5,carnarvon,78.64,64,0,19.28,-24.87,113.63,AU,1579990928
6,ugoofaaru,82.31,68,100,8.21,5.67,73.0,MV,1579990928
7,new norfolk,63.39,63,77,1.99,-42.78,147.06,AU,1579990929
8,marion,32.25,95,90,17.22,39.77,-86.16,US,1579990929
9,kavaratti,81.25,66,77,3.42,10.57,72.64,IN,1579990930
10,ahipara,87.01,70,86,1.01,-35.17,173.17,NZ,1579990930
11,ribeira grande,54.05,78,100,5.77,38.52,-28.7,PT,1579990900
12,mataura,61.81,72,99,1.86,-46.19,168.86,NZ,1579990931
13,saskylakh,-16.85,91,100,19.26,71.92,114.08,RU,1579990931
14,yellowknife,10.0,84,100,7.63,62.46,-114.35,CA,1579990931
15,atuona,80.87,77,61,15.77,-9.8,-139.03,PF,1579990931
16,rikitea,78.76,77,36,14.61,-23.12,-134.97,PF,1579990931
17,cape town,63.16,88,40,9.17,-33.93,18.42,ZA,1579990931
18,itamarandiba,67.93,97,100,7.29,-17.86,-42.86,BR,1579990932
19,viedma,74.28,27,2,5.37,-40.81,-63.0,AR,1579990897
20,deputatskiy,-40.74,100,59,0.94,69.3,139.9,RU,1579990932
21,port elizabeth,68.0,94,75,14.99,-33.92,25.57,ZA,1579990932
22,misratah,65.17,46,100,8.23,32.38,15.09,LY,1579991168
23,punta cardon,81.32,69,0,18.19,11.66,-70.22,VE,1579990933
24,saldanha,66.2,77,33,3.36,-33.01,17.94,ZA,1579990933
25,carepa,74.46,96,100,4.16,7.76,-76.65,CO,1579990933
26,vanimo,83.03,82,47,13.62,-2.67,141.3,PG,1579990933
27,narsaq,15.8,72,100,3.36,60.92,-46.05,GL,1579990933
28,takoradi,78.67,77,94,4.29,4.88,-1.76,GH,1579990934
29,klaksvik,46.06,83,100,20.8,62.23,-6.59,FO,1579990934
30,ushuaia,47.46,57,100,14.94,-54.8,-68.3,AR,1579990934
31,saint-philippe,68.5,78,100,17.07,-21.36,55.77,RE,1579990934
32,butaritari,84.85,72,3,9.51,3.07,172.79,KI,1579990934
33,cabo san lucas,72.16,79,31,5.01,22.89,-109.91,MX,1579990935
34,albany,37.06,93,90,3.65,42.6,-73.97,US,1579990935
35,hobart,63.54,36,76,1.48,-42.88,147.33,AU,1579990935
36,vardo,25.16,68,100,34.69,70.37,31.11,NO,1579990924
